Comment,Designator,Footprint,LCSC,Quantity
10K,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.01uF,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10K,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.01uF,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10K,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
68,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10K,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.01uF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10K,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10K,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
68,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10K,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.01uF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10K,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
